latitude,longitude,elevation,,,
12.875,79.375,146,,,
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²)
2024-12-01T00:00,23.6,96,0,0,0
2024-12-01T01:00,23.8,95,0,0,0
2024-12-01T02:00,23.7,96,0,0,0
2024-12-01T03:00,23.5,96,0,0,0
2024-12-01T04:00,23.5,96,0,0,0
2024-12-01T05:00,23.7,97,0,0,0
2024-12-01T06:00,24,95,0,0,0
2024-12-01T07:00,24.4,93,9,0,9
2024-12-01T08:00,24.4,93,18,0,18
2024-12-01T09:00,24.6,92,49,0,49
2024-12-01T10:00,24.7,92,60,0,60
2024-12-01T11:00,24.7,93,64,2,62
2024-12-01T12:00,24.8,94,93,11,82
2024-12-01T13:00,24.8,93,134,15,119
2024-12-01T14:00,24.7,94,88,0,88
2024-12-01T15:00,24.7,94,51,1,50
2024-12-01T16:00,24.5,94,33,1,32
2024-12-01T17:00,24.4,95,6,0,6
2024-12-01T18:00,24.2,96,0,0,0
2024-12-01T19:00,24.2,96,0,0,0
2024-12-01T20:00,24.1,96,0,0,0
2024-12-01T21:00,24.1,96,0,0,0
2024-12-01T22:00,24,96,0,0,0
2024-12-01T23:00,24,97,0,0,0
2024-12-02T00:00,23.8,97,0,0,0
2024-12-02T01:00,23.8,97,0,0,0
2024-12-02T02:00,23.8,97,0,0,0
2024-12-02T03:00,23.8,97,0,0,0
2024-12-02T04:00,23.8,97,0,0,0
2024-12-02T05:00,24,98,0,0,0
2024-12-02T06:00,24,98,0,0,0
2024-12-02T07:00,24.1,97,20,1,19
2024-12-02T08:00,24.6,96,97,23,74
2024-12-02T09:00,25.1,95,162,29,133
2024-12-02T10:00,25.8,93,276,63,213
2024-12-02T11:00,26.2,91,366,124,242
2024-12-02T12:00,26,93,241,51,190
2024-12-02T13:00,26.3,91,300,64,236
2024-12-02T14:00,25.7,94,197,21,176
2024-12-02T15:00,25.4,93,185,21,164
2024-12-02T16:00,25,94,74,0,74
2024-12-02T17:00,25.2,95,18,0,18
2024-12-02T18:00,24.8,95,0,0,0
2024-12-02T19:00,24.5,96,0,0,0
2024-12-02T20:00,24.3,97,0,0,0
2024-12-02T21:00,24.2,97,0,0,0
2024-12-02T22:00,24.1,97,0,0,0
2024-12-02T23:00,24.4,98,0,0,0
2024-12-03T00:00,24.2,98,0,0,0
2024-12-03T01:00,24.1,98,0,0,0
2024-12-03T02:00,24,97,0,0,0
2024-12-03T03:00,23.9,97,0,0,0
2024-12-03T04:00,23.8,97,0,0,0
2024-12-03T05:00,24,98,0,0,0
2024-12-03T06:00,23.9,98,0,0,0
2024-12-03T07:00,24.1,97,37,9,28
2024-12-03T08:00,24.8,95,121,41,80
2024-12-03T09:00,26.1,90,277,138,139
2024-12-03T10:00,27,88,443,250,193
2024-12-03T11:00,27.3,88,594,339,255
2024-12-03T12:00,28.2,85,624,332,292
2024-12-03T13:00,28.1,84,399,172,227
2024-12-03T14:00,28.1,84,415,205,210
2024-12-03T15:00,27.4,86,264,119,145
2024-12-03T16:00,26.4,91,85,6,79
2024-12-03T17:00,26.6,90,35,3,32
2024-12-03T18:00,25.7,92,1,0,1
2024-12-03T19:00,25.3,93,0,0,0
2024-12-03T20:00,24.9,95,0,0,0
2024-12-03T21:00,24.7,97,0,0,0
2024-12-03T22:00,24.5,98,0,0,0
2024-12-03T23:00,24.7,98,0,0,0
2024-12-04T00:00,24.5,98,0,0,0
2024-12-04T01:00,24.4,99,0,0,0
2024-12-04T02:00,24.3,99,0,0,0
2024-12-04T03:00,24.2,99,0,0,0
2024-12-04T04:00,24.2,98,0,0,0
2024-12-04T05:00,24.1,97,0,0,0
2024-12-04T06:00,24.1,97,0,0,0
2024-12-04T07:00,24.6,96,61,21,40
2024-12-04T08:00,25.9,90,219,126,93
2024-12-04T09:00,26.5,86,366,225,141
2024-12-04T10:00,27.4,83,528,320,208
2024-12-04T11:00,28,80,536,325,211
2024-12-04T12:00,28.3,80,576,319,257
2024-12-04T13:00,28,82,481,244,237
2024-12-04T14:00,27.7,83,383,158,225
2024-12-04T15:00,27.4,84,327,125,202
2024-12-04T16:00,26.8,86,189,53,136
2024-12-04T17:00,26.4,89,45,2,43
2024-12-04T18:00,25.7,92,1,0,1
2024-12-04T19:00,25.2,94,0,0,0
2024-12-04T20:00,25,94,0,0,0
2024-12-04T21:00,24.8,94,0,0,0
2024-12-04T22:00,24.6,95,0,0,0
2024-12-04T23:00,24.6,96,0,0,0
2024-12-05T00:00,24.6,96,0,0,0
2024-12-05T01:00,24.4,96,0,0,0
2024-12-05T02:00,24.4,97,0,0,0
2024-12-05T03:00,24.3,97,0,0,0
2024-12-05T04:00,24.2,97,0,0,0
2024-12-05T05:00,24.2,96,0,0,0
2024-12-05T06:00,24.1,96,0,0,0
2024-12-05T07:00,24.7,96,62,21,41
2024-12-05T08:00,26,90,231,129,102
2024-12-05T09:00,26.6,87,370,222,148
2024-12-05T10:00,27.1,86,539,348,191
2024-12-05T11:00,28,82,555,297,258
2024-12-05T12:00,28.7,78,649,407,242
2024-12-05T13:00,29,76,602,399,203
2024-12-05T14:00,29.1,76,561,368,193
2024-12-05T15:00,28.5,77,412,246,166
2024-12-05T16:00,27.5,81,216,107,109
2024-12-05T17:00,27.7,78,76,30,46
2024-12-05T18:00,26.7,85,1,0,1
2024-12-05T19:00,26.1,89,0,0,0
2024-12-05T20:00,25.5,92,0,0,0
2024-12-05T21:00,25,95,0,0,0
2024-12-05T22:00,24.6,97,0,0,0
2024-12-05T23:00,24.8,96,0,0,0
2024-12-06T00:00,24.5,97,0,0,0
2024-12-06T01:00,24.3,97,0,0,0
2024-12-06T02:00,24,98,0,0,0
2024-12-06T03:00,23.6,100,0,0,0
2024-12-06T04:00,23.5,100,0,0,0
2024-12-06T05:00,23.5,99,0,0,0
2024-12-06T06:00,23.4,100,0,0,0
2024-12-06T07:00,24.1,98,69,25,44
2024-12-06T08:00,26.2,88,241,126,115
2024-12-06T09:00,27.2,80,417,276,141
2024-12-06T10:00,28.4,74,580,385,195
2024-12-06T11:00,29.8,69,618,404,214
2024-12-06T12:00,30.3,67,686,493,193
2024-12-06T13:00,30.4,65,659,440,219
2024-12-06T14:00,30.2,66,599,405,194
2024-12-06T15:00,29.9,67,454,311,143
2024-12-06T16:00,29.3,67,251,149,102
2024-12-06T17:00,28.4,72,72,25,47
2024-12-06T18:00,27,83,1,0,1
2024-12-06T19:00,26.4,87,0,0,0
2024-12-06T20:00,26,89,0,0,0
2024-12-06T21:00,25.4,91,0,0,0
2024-12-06T22:00,24.9,94,0,0,0
2024-12-06T23:00,24.7,96,0,0,0
2024-12-07T00:00,24.5,97,0,0,0
2024-12-07T01:00,24.4,98,0,0,0
2024-12-07T02:00,24.3,98,0,0,0
2024-12-07T03:00,24.2,98,0,0,0
2024-12-07T04:00,24.2,98,0,0,0
2024-12-07T05:00,24,99,0,0,0
2024-12-07T06:00,23.8,98,0,0,0
2024-12-07T07:00,24.4,97,63,19,44
2024-12-07T08:00,26.2,87,250,144,106
2024-12-07T09:00,27.2,79,417,259,158
2024-12-07T10:00,28.2,74,529,342,187
2024-12-07T11:00,29.3,70,651,446,205
2024-12-07T12:00,30.1,65,738,525,213
2024-12-07T13:00,29.9,65,657,452,205
2024-12-07T14:00,29.9,68,522,297,225
2024-12-07T15:00,29.2,72,381,229,152
2024-12-07T16:00,28.5,73,219,119,100
2024-12-07T17:00,28,76,67,23,44
2024-12-07T18:00,27.6,78,1,0,1
2024-12-07T19:00,27,79,0,0,0
2024-12-07T20:00,25.9,84,0,0,0
2024-12-07T21:00,25,87,0,0,0
2024-12-07T22:00,24.2,91,0,0,0
2024-12-07T23:00,24,92,0,0,0
2024-12-08T00:00,23.7,93,0,0,0
2024-12-08T01:00,23.3,94,0,0,0
2024-12-08T02:00,22.7,97,0,0,0
2024-12-08T03:00,22.3,99,0,0,0
2024-12-08T04:00,22.3,99,0,0,0
2024-12-08T05:00,22,100,0,0,0
2024-12-08T06:00,22,100,0,0,0
2024-12-08T07:00,22.7,99,56,8,48
2024-12-08T08:00,24.6,94,209,82,127
2024-12-08T09:00,26.3,78,435,275,160
2024-12-08T10:00,27.5,72,603,397,206
2024-12-08T11:00,29,66,698,469,229
2024-12-08T12:00,29.9,62,776,549,227
2024-12-08T13:00,30.4,58,747,535,212
2024-12-08T14:00,30.4,57,551,381,170
2024-12-08T15:00,30.3,56,445,296,149
2024-12-08T16:00,29.5,60,257,148,109
2024-12-08T17:00,28,72,102,55,47
2024-12-08T18:00,26.7,80,1,0,1
2024-12-08T19:00,26,84,0,0,0
2024-12-08T20:00,25.6,85,0,0,0
2024-12-08T21:00,25.1,88,0,0,0
2024-12-08T22:00,24.6,92,0,0,0
2024-12-08T23:00,24.6,95,0,0,0
2024-12-09T00:00,24.3,96,0,0,0
2024-12-09T01:00,24,97,0,0,0
2024-12-09T02:00,23.5,99,0,0,0
2024-12-09T03:00,23.1,100,0,0,0
2024-12-09T04:00,23,100,0,0,0
2024-12-09T05:00,22.9,100,0,0,0
2024-12-09T06:00,22.9,100,0,0,0
2024-12-09T07:00,23.5,99,56,13,43
2024-12-09T08:00,25.3,91,215,103,112
2024-12-09T09:00,26.6,80,373,203,170
2024-12-09T10:00,27.7,74,557,368,189
2024-12-09T11:00,28.9,69,653,464,189
2024-12-09T12:00,29.9,64,758,570,188
2024-12-09T13:00,30.4,60,709,485,224
2024-12-09T14:00,30.1,60,517,351,166
2024-12-09T15:00,29.7,62,435,283,152
2024-12-09T16:00,28.8,66,270,165,105
2024-12-09T17:00,28.1,72,102,50,52
2024-12-09T18:00,26.9,80,2,1,1
2024-12-09T19:00,26.1,84,0,0,0
2024-12-09T20:00,25.4,87,0,0,0
2024-12-09T21:00,24.8,90,0,0,0
2024-12-09T22:00,24.3,93,0,0,0
2024-12-09T23:00,24.1,95,0,0,0
2024-12-10T00:00,23.9,96,0,0,0
2024-12-10T01:00,23.7,96,0,0,0
2024-12-10T02:00,23.5,97,0,0,0
2024-12-10T03:00,23.4,96,0,0,0
2024-12-10T04:00,23.4,96,0,0,0
2024-12-10T05:00,23.3,95,0,0,0
2024-12-10T06:00,23.5,94,0,0,0
2024-12-10T07:00,24.2,91,72,14,58
2024-12-10T08:00,25.9,83,261,136,125
2024-12-10T09:00,27.1,74,409,220,189
2024-12-10T10:00,28.3,69,581,380,201
2024-12-10T11:00,29,68,671,452,219
2024-12-10T12:00,29.8,63,673,399,274
2024-12-10T13:00,30.4,59,651,421,230
2024-12-10T14:00,30.5,58,569,367,202
2024-12-10T15:00,30,60,430,226,204
2024-12-10T16:00,29,64,222,56,166
2024-12-10T17:00,27.6,75,65,1,64
2024-12-10T18:00,26.6,81,2,0,2
2024-12-10T19:00,25.9,85,0,0,0
2024-12-10T20:00,25.3,88,0,0,0
2024-12-10T21:00,24.8,90,0,0,0
2024-12-10T22:00,24.5,92,0,0,0
2024-12-10T23:00,24.4,90,0,0,0
2024-12-11T00:00,24.2,90,0,0,0
2024-12-11T01:00,24,90,0,0,0
2024-12-11T02:00,24.1,88,0,0,0
2024-12-11T03:00,24.1,87,0,0,0
2024-12-11T04:00,24.1,86,0,0,0
2024-12-11T05:00,24.1,87,0,0,0
2024-12-11T06:00,24.2,87,0,0,0
2024-12-11T07:00,24.5,87,22,0,22
2024-12-11T08:00,24.9,88,75,0,75
2024-12-11T09:00,25.5,84,140,0,140
2024-12-11T10:00,26.1,81,228,3,225
2024-12-11T11:00,26.2,80,256,3,253
2024-12-11T12:00,26.5,78,280,0,280
2024-12-11T13:00,26.5,78,237,0,237
2024-12-11T14:00,26.2,80,156,0,156
2024-12-11T15:00,26.1,81,155,2,153
2024-12-11T16:00,25.8,83,105,0,105
2024-12-11T17:00,24.8,91,37,1,36
2024-12-11T18:00,24.5,93,1,0,1
2024-12-11T19:00,24.2,94,0,0,0
2024-12-11T20:00,24.1,94,0,0,0
2024-12-11T21:00,23.9,95,0,0,0
2024-12-11T22:00,23.7,94,0,0,0
2024-12-11T23:00,23.8,94,0,0,0
2024-12-12T00:00,23.7,95,0,0,0
2024-12-12T01:00,23.5,95,0,0,0
2024-12-12T02:00,23.4,95,0,0,0
2024-12-12T03:00,23.2,96,0,0,0
2024-12-12T04:00,23.2,96,0,0,0
2024-12-12T05:00,23.3,97,0,0,0
2024-12-12T06:00,23.3,97,0,0,0
2024-12-12T07:00,23.5,96,13,0,13
2024-12-12T08:00,23.6,97,36,0,36
2024-12-12T09:00,23.8,96,65,0,65
2024-12-12T10:00,24.1,96,106,0,106
2024-12-12T11:00,24.6,95,155,3,152
2024-12-12T12:00,24.6,95,126,3,123
2024-12-12T13:00,24.4,96,74,0,74
2024-12-12T14:00,24.3,96,55,0,55
2024-12-12T15:00,24.4,95,81,0,81
2024-12-12T16:00,24.4,96,65,2,63
2024-12-12T17:00,24.4,98,14,0,14
2024-12-12T18:00,24.1,97,0,0,0
2024-12-12T19:00,24,97,0,0,0
2024-12-12T20:00,23.9,97,0,0,0
2024-12-12T21:00,23.8,96,0,0,0
2024-12-12T22:00,23.6,97,0,0,0
2024-12-12T23:00,23.6,98,0,0,0
2024-12-13T00:00,23.5,97,0,0,0
2024-12-13T01:00,23.5,96,0,0,0
2024-12-13T02:00,23.6,96,0,0,0
2024-12-13T03:00,23.5,96,0,0,0
2024-12-13T04:00,23.6,95,0,0,0
2024-12-13T05:00,23.5,95,0,0,0
2024-12-13T06:00,23.5,94,0,0,0
2024-12-13T07:00,23.8,94,44,1,43
2024-12-13T08:00,24.4,92,134,16,118
2024-12-13T09:00,25.1,89,222,17,205
2024-12-13T10:00,25.3,87,281,23,258
2024-12-13T11:00,25.7,86,400,71,329
2024-12-13T12:00,26.6,81,476,104,372
2024-12-13T13:00,26.8,78,425,90,335
2024-12-13T14:00,26.7,78,408,106,302
2024-12-13T15:00,26.2,80,278,33,245
2024-12-13T16:00,25.5,84,181,13,168
2024-12-13T17:00,25.2,88,64,2,62
2024-12-13T18:00,24.6,90,1,0,1
2024-12-13T19:00,24.3,90,0,0,0
2024-12-13T20:00,24,90,0,0,0
2024-12-13T21:00,23.8,91,0,0,0
2024-12-13T22:00,23.6,91,0,0,0
2024-12-13T23:00,23.6,90,0,0,0
2024-12-14T00:00,23.5,90,0,0,0
2024-12-14T01:00,23.3,90,0,0,0
2024-12-14T02:00,23,91,0,0,0
2024-12-14T03:00,22.8,91,0,0,0
2024-12-14T04:00,22.6,91,0,0,0
2024-12-14T05:00,22,91,0,0,0
2024-12-14T06:00,21.9,90,0,0,0
2024-12-14T07:00,22.2,90,43,1,42
2024-12-14T08:00,23.1,87,139,10,129
2024-12-14T09:00,23.8,84,247,18,229
2024-12-14T10:00,24.4,80,358,41,317
2024-12-14T11:00,26.2,72,599,285,314
2024-12-14T12:00,26.7,67,702,462,240
2024-12-14T13:00,26.9,66,614,379,235
2024-12-14T14:00,26.8,65,531,341,190
2024-12-14T15:00,26.2,67,400,248,152
2024-12-14T16:00,25.6,71,275,161,114
2024-12-14T17:00,25,77,102,48,54
2024-12-14T18:00,23.8,82,3,1,2
2024-12-14T19:00,22.9,82,0,0,0
2024-12-14T20:00,22.2,82,0,0,0
2024-12-14T21:00,21.6,83,0,0,0
2024-12-14T22:00,21.1,84,0,0,0
2024-12-14T23:00,21.2,84,0,0,0
2024-12-15T00:00,20.7,85,0,0,0
2024-12-15T01:00,20.4,85,0,0,0
2024-12-15T02:00,20.1,86,0,0,0
2024-12-15T03:00,19.8,87,0,0,0
2024-12-15T04:00,19.8,87,0,0,0
2024-12-15T05:00,19.5,91,0,0,0
2024-12-15T06:00,19.4,92,0,0,0
2024-12-15T07:00,20.1,92,56,13,43
2024-12-15T08:00,22.2,87,229,107,122
2024-12-15T09:00,24,80,396,190,206
2024-12-15T10:00,24.8,75,491,235,256
2024-12-15T11:00,26.2,67,588,215,373
2024-12-15T12:00,26.7,63,689,390,299
2024-12-15T13:00,27,61,623,365,258
2024-12-15T14:00,27.2,60,587,356,231
2024-12-15T15:00,26.7,64,478,299,179
2024-12-15T16:00,25.8,67,327,225,102
2024-12-15T17:00,24.8,74,112,55,57
2024-12-15T18:00,23.4,81,3,1,2
2024-12-15T19:00,22.7,85,0,0,0
2024-12-15T20:00,22.1,86,0,0,0
2024-12-15T21:00,21.7,86,0,0,0
2024-12-15T22:00,21.5,87,0,0,0
2024-12-15T23:00,21.9,86,0,0,0
2024-12-16T00:00,21.7,87,0,0,0
2024-12-16T01:00,21.5,89,0,0,0
2024-12-16T02:00,21.4,89,0,0,0
2024-12-16T03:00,21.2,88,0,0,0
2024-12-16T04:00,20.7,88,0,0,0
2024-12-16T05:00,20.1,91,0,0,0
2024-12-16T06:00,19.9,90,0,0,0
2024-12-16T07:00,20.5,89,66,14,52
2024-12-16T08:00,23,84,268,161,107
2024-12-16T09:00,24.2,76,458,310,148
